"добыча полезных ископаемых";"der Abbau, -e"
"тип озера";"der Seentyp, -en"
"кувшинка";"die Seerose, -n"
"ручейник";"der Seerüßling, -e"
"альпийский голец";"der Seesaibling, -e"
"осока";"die Seggen, -"
"сегменты";"die Segmenten, -"
"самоочищение";"die Selbstreinigung, -"
"способность к самоочищению";"die Selbstreinigungskraft, -"
"ставные сети";"die Senknetze, -"
"садок для рыбы";"der Setzkescher, -"
"свобода от болезней";"die Seuchenfreiheit, -"
"обеспечение безопасности";"die Sicherung, -en"
"сиг";"der Sichling, -e"
"видимость";"die Sicht, -"
"глубина видимости";"die Sichttiefe, -n"
"сигнальный рак";"der Signalkrebs, -e"
"жидкость из силосных ям";"der Silagesickersaft, -"
"содержание силикатов";"der Silikatgehalt, -"
"ситник";"die Simsen, -"
"смысл";"der Sinn, -e"
"чувства";"die Sinne, -"
"восприятие органами чувств";"die Sinneswahrnehmung, -en"
"место";"der Sitz, -e"
"дно";"die Sohle, -n"
"укрепление дна";"die Sohlpflasterung, -en"
"лето";"der Sommer, -"
"летнее икрометание";"das Sommerlaichern, -"
"летние ночи";"die Sommernächte, -"
"летняя стагнация";"die Sommerstagnation, -"
"летние температуры";"die Sommertemperaturen, -"
"солнечный окунь";"der Sonnenbarsch, -e"
"солнечное излучение";"die Sonnenbestrahlung, -en"
"солнечное излучение";"die Sonneneinstrahlung, -en"
"солнечный свет";"das Sonnenlicht, -"
"солнечный свет";"der Sonnenschein, -"
"беспокойство";"die Sorge, -n"
"сортировка";"die Sortierung, -en"
"напряжение";"die Spannung, -en"
"позднее последствие";"die Spätfolge, -n"
"полоска бекона";"der Speckstreifen, -"
"съедобная рыба";"der Speisefisch, -e"
"размер съедобной рыбы";"die Speisefischgröße, -n"
"съедобные раки";"die Speisekrebse, -"
"специальный сачок";"der Spezialkescher, -"
"специальная катушка";"die Spezialrolle, -n"
"зеркальный карп";"der Spiegelkarpfen, -"
"веретено";"die Spindel, -n"
"спиннинговая удочка";"die Spinnangel, -n"
"блесна";"der Spinner, -"
"лепесток блесны";"das Spinnerblättchen, -"
"спиннинговая ловля";"das Spinnfischen, -"
"спиннинговая рыбалка";"die Spinnfischerei, -en"
"спиннинговая приманка";"der Spinnköder, -"
"спиннинговое удилище";"die Spinnrute, -n"
"кончик";"die Spitze, -n"
"раздвигать";"das Spreizen, -"
"взрывчатые вещества";"die Sprengstoffe, -"
"прыгун";"der Springer, -"
"трамплин";"das Sprungbrett, -"
"слой скачка";"die Sprungschicht, -en"
"катушка";"die Spule, -n"
"узел оси катушки";"der Spulenachsenknoten, -"
"сердечник катушки";"der Spulenkern, -"
"шпунтовые стенки";"die Spundwänden, -"
"государство";"der Staat, -en"
"гражданство";"die Staatsangehörigkeit, -en"
"шип";"der Stachel, -n"
"колючие лучи";"die Stachelstrahlen, -"
"стадия";"das Stadium, Stadien"
"стальной поводок";"das Stahlvorfach, -"
"вариант местоположения";"die Standortvariante, -n"
"места стоянки";"die Standplätze, -"
"стебель";"der Stängel, -"
"сила";"die Stärke, -n"
"ливень";"der Starkregen, -"
"стационарная катушка";"die Stationärrolle, -n"
"затор";"der Stau, -e"
"фазы застоя";"die Stauphasen, -"
"водохранилище";"der Stausee, -n"
"ступени водохранилища";"die Stau stufen, -"
"водосливные плотины";"die Stauwehre, -"
"вставное удилище";"die Steckrute, -n"
"крутые берега";"die Steilufern, -"
"камень";"der Stein, -e"
"голец";"der Steinbeißer, -"
"личинка веснянки";"die Steinfliegenlarve, -n"
"ручьевая форель";"die Steinforellen, -"
"обыкновенный подкаменщик";"der Steingressling, -"
"каменный рак";"der Steinkrebs, -"
"место";"die Stelle, -n"
"ловля сетями";"die Stellnetzfischerei, -en"
"положение";"die Stellung, -en"
"стерлядь";"der Sterlet, -e"
"укус";"der Stich, -e"
"колюшка";"der Stichling, -e"
"азот";"der Stickstoff, -"
"нахлыстовые мушки для стоячей воды";"die Stillgewässerfliegen, -"
"корюшка";"der Stint, -e"
"поплавочная удочка";"die Stippangeln, -"
"поплавочная ловля";"das Stippfischen, -"
"налобный фонарь";"die Stirnlampe, -n"
"кряква";"die Stockente, -n"
"вещества";"die Stoffe, -"
"обмен веществ";"der Stoffwechsel, -"
"конечный продукт обмена веществ";"das Stoffwechselendprodukt, -e"
"проблема метаболизма";"die Stoffwechselprobleme, -"
"ограничительный узел";"der Stopperknoten, -"
"колюшка";"der Stör, e"
"Уголовный кодекс";"das Strafgesetzbuch, ..bücher"
"преступление";"die Straftat, en"
"луч";"der Strahl, en"
"Правила дорожного движения";"die Straßenverkehrsordnung, -"
"стример";"der Streamer, -"
"зубрилка";"der Streber, -"
"участок";"die Strecke, n"
"полоса";"der Streifen, -"
"стресс";"der Stress, -"
"бродяга";"der Strömer, -"
"течение";"die Strömung, en"
"скорость потока";"die Strömungsgeschwindigkeit, -"
"вихревые движения";"die Strudelbewegungen, -"
"структурная бедность";"die Strukturarmut, -"
"структурные элементы";"die Strukturelemente, -"
"улучшение структуры";"die Strukturverbesserung, en"
"структурное разнообразие";"die Strukturvielfalt, -"
"количество штук";"die Stückzahl, en"
"пикирование";"der Sturzflug, ..flüge"
"кобыла";"die Stute, n"
"поисковое устройство";"das Suchgerät, e"
"нутрия";"der Sumpfbiber, -"
"болотный рак";"der Sumpfkrebs, e"
"болотная черепаха";"die Sumpfschildkröte, n"
"пресная вода";"das Süßwasser, -"
"виды пресноводных рыб";"die Süßwasserfischarten, -"
"пресноводные рыбы";"die Süßwasserfische, -"
"симптомы";"die Symptome, -"
"система";"das System, e"
"день";"der Tag, e"
"максимальный улов за день";"der Tageshöchstfang, ..fänge"
"дневной свет";"das Tageslicht, -"
"камуфляж";"die Tarnfärbung, en"
"фонарик";"die Taschenlampe, n"
"органы чувств";"die Tastorgane, -"
"состав преступления";"der Tatbestand, ..stände"
"деятельность";"die Tätigkeit, en"
"факты";"die Tatsachen, -"
"способность нырять";"die Tauchfähigkeit, -"
"погружная лопата";"die Tauchschaufel, n"
"шатающийся блесна";"der Taumelköder, -"
"тысячелистник";"das Tausendblatt, ..blätter"
"дождевой червь";"der Tauwurm, ..würmer"
"технологии";"die Technologien, -"
"пруд";"der Teich, e"
"пруд";"die Teichdämmen, -"
"прудовая ракушка";"die Teichmuschel, n"
"запасы прудовых мидий";"die Teichmuschelbestände, -"
"кувшинка";"die Teichrose, n"
"прудовая вода";"das Teichwasser, -"
"тесто";"der Teig, e"
"тестовая приманка";"der Teigköder, -"
"часть";"der Teil, e"
"частичный выход";"der Teilaustritt, e"
"количество участников";"die Teilnehmerzahl, en"
"разделение";"die Teilung, en"
"телескопический сачок";"der Teleskopkescher, -"
"телескопическое удилище";"die Teleskoprute, n"
"температура";"die Temperatur, en"
"выравнивание температуры";"der Temperaturausgleich, e"
"температуры";"die Temperaturen, -"
"повышение температуры";"die Temperaturerhöhung, en"
"измерения температуры";"die Temperaturmessungen, -"
"температурное расслоение";"die Temperaturschichtung, en"
"текстильный материал";"das Textilmaterial, -ien"
"тимьян";"der Thymian, -e"
"глубина";"die Tiefe, -n"
"диапазон глубины";"der Tiefenbereich, -e"
"ведение глубины";"die Tiefenführung, -en"
"регион глубины";"die Tiefenregion, -en"
"слой глубины";"die Tiefenschicht, -en"
"глубинная вода";"das Tiefenwasser, -"
"зона глубины";"die Tiefenzone, -n"
"животное";"das Tier, -e"
"вид животных";"die Tierart, -en"
"виды животных";"die Tierarten"
"животные";"die Tiere"
"кормление животных";"die Tierernährung, -en"
"группа животных";"die Tiergruppe, -n"
"закон о защите животных";"das Tierschutzgesetz, -e"
"животный мир";"die Tierwelt, -en"
"тигровая рыба";"der Tigerfisch, -e"
"тигровая форель";"die Tigerforelle, -n"
"тон";"der Ton, -e"
"тона";"die Töne"
"тонкинская трость";"das Tonkinrohr, -e"
"форма торпеды";"die Torpedoform, -en"
"мёртвая древесина";"das Totholz, -"
"грузоподъёмность";"die Tragfähigkeit, -en"
"несущая способность";"die Tragkraft, -e"
"поить";"tränken"
"транспорт";"der Transport, -e"
"транспортный сосуд";"das Transportgefäß, -e"
"транспортная вода";"das Transportwasser, -"
"движущая сила";"die Triebkraft, -e"
"питьевая вода";"das Trinkwasser, -"
"сухая мушка";"die Trockenfliege, -n"
"сухой шнур";"die Trockenschnur, -e"
"барабаны";"die Trommeln"
"зависимость от барабанов";"die Trommelsucht, -"
"муть";"die Trübstoffen"
"налим";"die Trüsche, -n"
"ткань";"das Tuch, -er"
"пятно";"der Tupfen, -"
"турбина";"die Turbine, -n"
"турбины";"die Turbinen"
"вход турбины";"der Turbineneinlass, -e"
"турецкий узел";"der Turleknoten, -"
"блесна";"der Twister, -"
"избыток";"der Überbestand, -e"
"наводнение";"die Überflutung, -en"
"переходная область";"der Übergangsbereich, -e"
"шанс на выживание";"die Überlebenschance, -n"
"уровень выживаемости";"die Überlebensrate, -n"
"поглощение";"die Übernahme, -n"
"перевод";"die Übersetzung, -en"
"надводные растения";"die Überwasserpflanzen"
"берег";"das Ufer, -"
"береговые сооружения";"die Uferanlagen"
"спрямление берега";"die Uferbegradigung, -en"
"береговой район";"der Uferbereich, -e"
"состояние берега";"die Uferbeschaffenheit, -en"
"право на вход на берег";"das Uferbetretungsrecht, -e"
"блоки берега";"die Uferblocksteine, -"
"прибрежные древесные растения";"die Ufergehölzen, -"
"прибрежный участок";"das Ufergrundstück, -e"
"длина берега";"die Uferlänge, -n"
"прибрежные растения";"die Uferpflanzen, -"
"полоса защиты берега";"der Uferschutzstreifen, -"
"сторона берега";"die Uferseite, -n"
"береговая зона";"die Uferzone, -n"
"уклейка";"die Ukelei, -"
"объём";"der Umfang, -e"
"обращение";"der Umgang, -e"
"обходной канал";"der Umgehungsgerinne, -"
"окрестности";"das Umland, -"
"реализация";"die Umsetzung, -en"
"обстоятельства";"die Umständen, -"
"переворот";"die Umwälzung, -en"
"жерлянки";"die Unken, -"
"подсачек для ловли на дне";"der Unterfangkescher, -"
"основание";"der Untergrund, -e"
"нижняя челюсть";"der Unterkiefer, -"
"документ";"die Unterlage, -n"
"нижестоящий";"der Unterlieger, -"
"нижняя губа";"die Unterlippe, -n"
"отличительный признак";"das Unterscheidungsmerkmal, -e"
"присвоение чужого имущества";"die Unterschlagung, -en"
"убежище";"der Unterschlupf, -e"
"нижняя сторона";"die Unterseite, -n"
"навес";"der Unterstand, -e"
"исследовательский центр";"die Untersuchungsstelle, -n"
"цели исследования";"die Untersuchungszwecken, -"
"субаренда";"die Unterverpachtung, -en"
"под водой";"das Unterwasser, -"
"подводные растения";"die Unterwasserpflanzen, -"
"монтаж подводного поплавка";"die Unterwasserposenmonta, -"
"первоначальная форма";"die Urform, -en"
"причина";"die Ursache, -n"
"вариант";"die Variante, -n"
"изменение";"die Veränderung, -en"
"мероприятия";"die Veranstaltungen, -"
"обнищание";"die Verarmung, -en"
"улучшение";"die Verbesserung, -en"
"обязательства";"die Verbindlichkeiten, -"
"связь";"die Verbindung, -en"
"распространение";"die Verbreitung, -en"
"область распространения";"das Verbreitungsgebiet, -e"
"подозрение";"der Verdacht, -e"
"пищеварительный тракт";"der Verdauungstrakt, -"
"искажение";"das Verdrehen, -"
"испарение";"die Verdunstung, -en"
"члены клуба";"die Vereinsmitglieder, -"
"председатель клуба";"die Vereinsvorsitzenden, -"
"распоряжение";"die Verfügung, -en"
"проступок";"das Vergehen, -"
"отравления";"die Vergiftungen, -"
"сравнение";"der Vergleich, -e"
"соотношение";"das Verhältnis, -se"
"дорожный знак";"das Verkehrszeichen, -"
"зарастание сорняками";"die Verkrautung, -en"
"заболачивание";"die Verlandung, -en"
"ход";"der Verlauf, -e"
"ранение";"die Verletzung, -en"
"опасность травмирования";"die Verletzungsgefahr, -en"
"потеря";"der Verlust, -e"
"размножение";"die Vermehrung, -en"
"скорость размножения";"die Vermehrungsrate, -n"
"предотвращение";"die Vermeidung, -en"
"распоряжение";"die Verordnung, -en"
"арендодатель";"der Verpächter, -"
"аренда";"die Verpachtung, -en"
"обязательство";"die Verpflichtung, -en"
"грибковое заболевание";"die Verpilzung, -en"
"сокращение";"die Verringerung, -en"
"связь";"die Verständigung, -en"
"углубления";"die Vertiefungen, -"
"вертикальная рыбалка";"das Vertikalangeln, -"
"заключение договора";"der Vertragsabschluss, -sse"
"административный орган";"die Verwaltungsbehörde, -n"
"продолжительность пребывания";"die Verweildauer, -n"
"использование";"die Verwendung, -en"
"выветривание";"die Verwitterung, -en"
"потребление";"der Verzehr, -"
"задержка";"der Verzug, -"
"скот";"das Vieh, -"
"вирусы";"die Viren, -"
"вирус";"der Virus, -"
"вирусная инфекция";"die Virusinfektion, -en"
"витамины";"die Vitaminen, -"
"птицы";"die Vögel, -"
"вид птиц";"die Vogelart, -en"
"птицы";"die Vögeln, -"
"заповедные районы для птиц";"die Vogelschonbezirke, -"
"полное обращение";"die Vollzirkulation, -en"
"предпосылка";"die Voraussetzung, -en"
"передний план";"der Vordergrund, -e"
"передний край";"der Vorderrand, -er"
"поводок";"das Vorfach, -ächer"
"прочность поводка";"die Vorfachstärke, -n"
"процесс";"der Vorgang, -e"
"процедура";"die Vorgehensweise, -n"
"шаблон";"die Vorlage, -n"
"устройства";"die Vorrichtungen, -"
"правила";"die Vorschriften, -"
"преимущество";"der Vorteil, -e"
"рост";"das Wachstum, -"
"кольца роста";"die Wachstumsringen, -"
"лицензия на оружие";"der Waffenscheins, -"
"выбор";"die Wahl, -en"
"вероятность";"die Wahrscheinlichkeit, -en"
"справедливость охоты";"die Waidgerechtigkeit, -"
"сом";"der Waller, -"
"популяция сома";"der Wallerbestand, -e"
"ловля сома";"das Wallern, -"
"виды мигрирующих рыб";"die Wanderfischarten, -"
"препятствия для миграции";"die Wanderhindernissen, -"
"миграция";"die Wanderung, -en"
"енот";"der Waschbär, -en"
"вода";"das Wasser, -"
"водяной дрозд";"die Wasseramsel, -n"
"скопления воды";"die Wasseransammlungen, -"
"водяной ослик";"die Wasserassel, -n"
"контакт с водой";"die Wasserberührung, -en"
"водяная кровать";"das Wasserbett, -en"
"цветение воды";"die Wasserblüte, -n"
"давление воды";"der Wasserdruck, -"
"раздражители давления воды";"die Wasserdruckreize, -"
"давление воды";"des Wasserdrucks, -"
"водяные блохи";"die Wasserflöhe, -"
"водное законодательство";"die Wassergesetze, -"
"горец земноводный";"der Wasserknöterich, -e"
"водный объект";"der Wasserkörper, -"
"гидроэнергия";"die Wasserkraft, -"
"гидроэлектростанции";"die Wasserkraftanlagen, -"
"гидроэлектростанции";"die Wasserkraftwerken, -"
"гидроэлектростанция";"des Wasserkraftwerks, -"
"водяной шар";"die Wasserkugel, -n"
"водотоки";"die Wasserläufen, -"
"водомерка";"der Wasserläufer, -"
"ряска";"die Wasserlinse, -n"
"молекулы воды";"die Wassermoleküle, -"
"поверхность воды";"die Wasseroberfläche, -n"
"водные организмы";"die Wasserorganismen, -"
"Elodea";"die Wasserpest, -"
"водное растение";"die Wasserpflanze, -n"
"водные растения";"die Wasserpflanzen, -"
"запасы водных растений";"die Wasserpflanzenbeständen, -"
"пробы воды";"die Wasserproben, -"
"качество воды";"die Wasserqualität, -"
"водное право";"das Wasserrecht, -"
"сокращение воды";"die Wasserreduzierung, -"
"водные улитки";"die Wasserschnecken, -"
"колебания воды";"die Wasserschwankungen, -"
"ирис жёлтый";"die Wasserschwertlilie, -n"
"водяная кутора";"die Wasserspitzmaus, -e"
"уровень воды";"der Wasserstand, -e"
"уровень воды";"der Wasserstandes, -"
"водород";"der Wasserstoff, -"
"поток воды";"die Wasserströmung, -en"
"температура воды";"die Wassertemperatur, -en"
"температуры воды";"die Wassertemperaturen, -"
"глубина воды";"die Wassertiefe, -n"
"отравление водой";"die Wasservergiftung, -en"
"водные птицы";"die Wasservögel, -"
"объём воды";"das Wasservolumen, -"
"водное хозяйство";"die Wasserwirtschaft, -"
"забродный костюм";"die Wathose, -n"
"изменение";"der Wechsel, -"
"путь";"der Weg, -e"
"плотина";"die Wehre, -n"
"самка";"die Weibchen, -"
"мягкая резина";"der Weichgummi, -"
"мягкая древесина";"das Weichholz, -"
"мягкий пластик";"der Weichplastik, -"
"мягкий луч";"der Weichstrahl, -"
"ивы";"die Weiden, -"
"личинки ивового листа";"die Weidenblattlarven, -"
"пруд";"der Weiher, -"
"белая рыба";"die Weißfische, -"
"белая рыбная мушка";"die Weißfischfliegen, -"
"белый аист";"der Weißstorch, -e"
"волнение";"der Wellengang, -"
"волношлифовка";"der Wellenschliff, -"
"инструмент";"das Werkzeug, -e"
"осы";"die Wespen, -"
"соревнования";"die Wettbewerben, -"
"обмотка";"die Wicklung, -en"
"зазубрина";"der Widerhaken, -"
"сопротивление";"der Widerstand, -e"
"повторное заселение";"die Wiederansiedlung, -"
"повторное заселение";"die Wiederbesiedelung, -"
"восстановление";"die Wiederherstellung, -"
"взвешивание";"das Wiegen, -"
"дикий";"das Wild, -"
"дикий карп";"der Wildkarpfen, -"
"дикие животные";"die Wildtiere, -"
"ветер";"der Wind, -e"
"витки";"die Windungen, -"
"зима";"der Winter, -"
"зимний лагерь";"das Winterlager, -"
"зимние нерестилища";"die Winterlaichern, -"
"зимний покой";"die Winterruhe, -"
"вихрь";"der Wirbel, -"
"позвонок";"der Wirbelkörper, -"
"позвоночник";"die Wirbelsäule, -n"
"позвоночное животное";"der Wirbeltier, -e"
"хозяева";"die Wirten, -"
"рыба-хозяин";"die Wirtsfische, -"
"блесна́";"der Wobbler, -"
"неде́ля";"die Woche, -n"
"поче́му";"wodurch"
"для чего́";"wofür"
"проти́в чего́";"wogegen"
"отку́да";"woher"
"Войтцик";"der Woitzik, -"
"по́сле чего́";"wonach"
"на чём";"woran"
"на что";"worauf"
"в чём";"worin"
"о чём";"worum"
"от чего́";"wovon"
"для чего́";"wozu"
"ра́на";"die Wunde, -n"
"жела́ние";"der Wunsch, -e"
"бросо́к";"der Wurf, -e"
"броско́вые движе́ния";"die Wurfbewegungen, -"
"вес заброса";"das Wurfgewicht, -e"
"червь";"der Wurm, -er"
"зараже́ние глиста́ми";"der Wurmbefall, -"
"ловля на червя";"das Wurmfischen, -"
"крючо́к для ловли на червя";"der Wurmhaken, -"
"ко́рень";"die Wurzel, -n"
"число́";"die Zahl, -en"
"зу́бы";"die Zähne, -"
"са́зан-подка́менщик";"die Zährte, -n"
"чертёж";"die Zeichnung, -en"
"вре́мя";"die Zeit, -en"
"интерва́лы вре́мени";"die Zeitabständen, -"
"продолжительность";"die Zeitdauer, -"
"пери́од";"der Zeitraum, -:e"
"цеме́нт";"der Zement, -e"
"свиде́тельство";"das Zeugnis, -se"
"обыкновенный щипец";"der Zingel, -"
"со́боль";"der Zobel, -"
"зо́на";"die Zonen, -"
"зоопланкто́н";"der Zooplankton, -"
"лещ-подкаменщик";"die Zope, -n"
"приготовле́ние";"die Zubereitung, -en"
"фо́рмы приготовле́ния";"die Zubereitungsformen, -"
"поро́да";"die Zuchtrasse, -n"
"личи́нка комара́-звонца";"die Zuckmückenlarve, -n"
"ход";"der Zug, -:e"
"доба́вка";"die Zugabe, -n"
"до́ступ";"der Zugang, -:e"
"пути́ досту́па";"die Zugangswege, -"
"испыта́ние на растяже́ние";"die Zugprobe, -n"
"язы́к";"die Zunge, -n"
"спры́гивание";"das Zurückspringen, -"
"составле́ние";"die Zusammenstellung, -en"
"сокращение";"das Zusammenziehen, -"
"состоя́ние";"der Zustand, -:e"
"согласие";"die Zustimmung, -en"
"прирост";"der Zuwachs, -"
"цель";"der Zweck, -e"
"карликовая форма";"die Zwergform, -en"
"трёхиглый колю́шка";"der Zwergstichling, -e"
"карликовый сом";"der Zwergwels, -e"
"двойной крючок";"der Zwillingshaken, -"
"межмышечные кости";"die Zwischenmuskelgräten, -"
"промежутки";"die Zwischenräume, -"
